1,1,2,0
2,1,3,0
3,1,4,1
4,1,5,0
5,1,6,0
6,1,7,1
7,1,8,0
8,1,9,1
9,1,10,0
10,1,11,0
11,1,12,0
12,1,13,0
13,1,14,0
14,1,15,0
15,1,16,0
16,1,17,0
17,1,18,0
18,1,19,0
19,1,20,0
20,1,21,1
21,1,22,0
22,1,23,0
23,1,24,0
24,1,25,1
25,1,26,0
26,1,27,0
27,1,28,0
28,1,29,0
29,1,30,0
30,1,31,0
31,1,32,0
32,1,33,0
33,1,34,0
34,1,35,1
35,1,36,0
36,2,3,0
37,2,4,0
38,2,5,0
39,2,6,0
40,2,7,1
41,2,8,0
42,2,9,1
43,2,10,0
44,2,11,0
45,2,12,0
46,2,13,0
47,2,14,0
48,2,15,0
49,2,16,0
50,2,17,0
51,2,18,0
52,2,19,0
53,2,20,0
54,2,21,1
55,2,22,0
56,2,23,0
57,2,24,0
58,2,25,1
59,2,26,0
60,2,27,0
61,2,28,0
62,2,29,0
63,2,30,0
64,2,31,0
65,2,32,0
66,2,33,0
67,2,34,0
68,2,35,1
69,2,36,0
70,3,4,1
71,3,5,0
72,3,6,1
73,3,7,1
74,3,8,0
75,3,9,1
76,3,10,0
77,3,11,0
78,3,12,0
79,3,13,0
80,3,14,0
81,3,15,0
82,3,16,0
83,3,17,0
84,3,18,0
85,3,19,0
86,3,20,0
87,3,21,1
88,3,22,0
89,3,23,0
90,3,24,0
91,3,25,1
92,3,26,0
93,3,27,0
94,3,28,0
95,3,29,0
96,3,30,1
97,3,31,0
98,3,32,0
99,3,33,0
100,3,34,0
101,3,35,1
102,3,36,0
103,4,5,0
104,4,6,0
105,4,7,1
106,4,8,0
107,4,9,1
108,4,10,0
109,4,11,0
110,4,12,0
111,4,13,0
112,4,14,0
113,4,15,0
114,4,16,0
115,4,17,0
116,4,18,0
117,4,19,0
118,4,20,0
119,4,21,1
120,4,22,0
121,4,23,0
122,4,24,0
123,4,25,1
124,4,26,0
125,4,27,0
126,4,28,0
127,4,29,0
128,4,30,1
129,4,31,0
130,4,32,0
131,4,33,0
132,4,34,0
133,4,35,1
134,4,36,0
135,5,6,1
136,5,7,1
137,5,8,1
138,5,9,1
139,5,10,0
140,5,11,1
141,5,12,1
142,5,13,0
143,5,14,1
144,5,15,0
145,5,16,1
146,5,17,1
147,5,18,0
148,5,19,0
149,5,20,0
150,5,21,1
151,5,22,1
152,5,23,1
153,5,24,1
154,5,25,1
155,5,26,0
156,5,27,0
157,5,28,1
158,5,29,0
159,5,30,1
160,5,31,1
161,5,32,1
162,5,33,1
163,5,34,0
164,5,35,1
165,5,36,1
166,6,7,1
167,6,8,1
168,6,9,1
169,6,10,0
170,6,11,1
171,6,12,0
172,6,13,0
173,6,14,1
174,6,15,0
175,6,16,1
176,6,17,0
177,6,18,0
178,6,19,0
179,6,20,0
180,6,21,1
181,6,22,0
182,6,23,0
183,6,24,0
184,6,25,1
185,6,26,0
186,6,27,0
187,6,28,1
188,6,29,0
189,6,30,1
190,6,31,0
191,6,32,0
192,6,33,0
193,6,34,0
194,6,35,1
195,6,36,0
196,7,8,0
197,7,9,0
198,7,10,0
199,7,11,0
